STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2006-09,,101.43,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2006-10,,101.67,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2006-11,,101.86,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2006-12,,103.24,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2007-01,,103.40,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2007-02,,104.28,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2007-03,,103.94,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2007-04,,103.81,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2007-05,,103.11,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2007-06,,102.77,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2007-07,,103.49,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2007-08,,104.04,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2007-09,,103.41,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2007-10,,104.21,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP11,Restaurants and hotels,AT,Austria,2007-11,,104.54,,,
